date,000300.SH,399905.SZ,000906.SH,000016.SH
2012/1/13,2394.334,3233.701,2533.668,1685.913
2012/1/16,2345.649,3130.558,2475.178,1661.994
2012/1/17,2460.601,3304.88,2600.375,1736.606
2012/1/18,2422.189,3237.852,2556.903,1714.699
2012/1/19,2468.35,3270.765,2600.263,1750.521
2012/1/20,2504.086,3315.603,2637.44,1775.091
2012/1/30,2460.72,3292.409,2598.147,1742.818
2012/1/31,2464.26,3294.494,2601.39,1744.708
2012/2/1,2428.994,3266.234,2567.683,1713.684
2012/2/2,2486.238,3328.153,2625.388,1761.941
2012/2/3,2506.09,3383.05,2651.635,1772.192
2012/2/6,2504.322,3412.405,2655.687,1764.818
2012/2/7,2457.954,3356.838,2607.937,1732.024
2012/2/8,2528.236,3445.52,2681.145,1782.059
2012/2/9,2529.231,3469.846,2686.487,1778.097
2012/2/10,2533.624,3488.229,2693.459,1778.317
2012/2/13,2531.981,3519.875,2698.04,1768.539
